z,MAG_AUTO_G,MAG_AUTO_R,MAG_AUTO_I,MAG_AUTO_Z
0.05902915,18.019800186157227,17.527999877929688,17.297300338745117,17.124099731445312
0.3314686,20.06369972229004,18.448200225830078,17.9143009185791,17.583200454711914
0.3965469,21.1028995513916,19.40530014038086,18.852399826049805,18.568199157714844
0.3882003,20.490999221801758,18.764299392700195,18.19260025024414,17.8794002532959
0.4078951,22.077600479125977,20.28820037841797,19.661699295043945,19.326900482177734
0.2554115,19.03849983215332,18.716899871826172,18.54330062866211,18.71619987487793
0.09022852,17.654499053955078,16.766399383544922,16.401899337768555,16.131200790405273
0.09585544,19.1643009185791,18.733699798583984,18.4153995513916,18.33679962158203
0.05919757,18.387500762939453,17.734800338745117,17.462600708007812,17.2593994140625
0.6673183,21.233299255371094,20.360200881958008,19.815000534057617,19.657100677490234
0.5296586,22.33609962463379,20.447099685668945,19.64389991760254,19.214399337768555
0.5089518,21.43720054626465,19.828800201416016,19.139799118041992,18.78969955444336
0.6702703,22.123199462890625,20.51409912109375,19.59079933166504,19.2096004486084
0.4964589,21.715599060058594,19.942100524902344,19.212900161743164,18.837099075317383
0.5768983,22.23699951171875,20.393600463867188,19.694299697875977,19.423099517822266
0.09384216,18.1299991607666,17.287399291992188,16.90760040283203,16.63450050354004
0.4605307,21.769800186157227,20.367000579833984,19.707500457763672,19.202699661254883
0.2805663,20.605100631713867,19.944900512695312,19.654600143432617,19.6156005859375
0.5869101,22.405799865722656,20.632099151611328,19.77560043334961,19.322999954223633
0.1755743,18.526599884033203,17.58209991455078,17.218299865722656,16.927799224853516
0.1086545,18.297100067138672,17.578399658203125,17.16510009765625,16.927900314331055
0.4043896,21.15019989013672,19.358999252319336,18.78350067138672,18.44260025024414
0.3313544,20.233299255371094,18.702899932861328,18.209199905395508,17.934200286865234
0.09108873,19.392099380493164,18.926300048828125,18.679000854492188,18.56800079345703
0.4447137,21.284299850463867,19.55229949951172,18.94860076904297,18.605899810791016
0.05408447,16.81719970703125,16.349000930786133,16.155399322509766,15.996199607849121
0.4325336,21.407400131225586,19.640899658203125,19.024499893188477,18.688600540161133
0.6085932,22.042499542236328,20.358200073242188,19.49959945678711,19.09760093688965
0.5415784,22.502300262451172,20.416099548339844,19.576499938964844,19.148500442504883
0.1288091,18.774900436401367,17.91349983215332,17.515899658203125,17.254499435424805
0.08872072,19.38249969482422,18.903600692749023,18.676700592041016,18.550800323486328
0.5099432,21.929500579833984,20.12179946899414,19.4158992767334,19.059200286865234
0.1473639,17.843000411987305,16.955900192260742,16.54680061340332,16.25979995727539
0.1486512,18.538799285888672,17.95800018310547,17.65690040588379,17.49410057067871
0.1287292,18.481399536132812,17.596399307250977,17.2283992767334,16.98150062561035
0.1250749,18.337400436401367,17.49850082397461,17.05500030517578,16.811199188232422
0.1104912,18.47760009765625,17.513999938964844,17.112699508666992,16.817699432373047
0.1232956,18.028799057006836,17.01810073852539,16.597299575805664,16.30419921875
0.1902546,18.56130027770996,17.971200942993164,17.684200286865234,17.540300369262695
0.1570654,19.910999298095703,18.86989974975586,18.488500595092773,18.188499450683594
